Name,Company,Level Audition,Re-Evaluation,note,ep1,ep2,ep3,ep5,ep6,ep8,ep10,ep11
Abe Nagomi,Kanagawa,C,C,,27,15,14,13,14,15,23
Aita Rin,Fukushima,C,F,,82,32,35,11,7,10,9,13
Akiyama Ema,Tokyo,C,B,,55,35,38,35,43,41,
Ando Chiharu,Fukuoka,D,D,,62,43,43,38,39,44,
Ando Yui,Aichi,C,B,,20,20,25,21,18,14,25
Aoki Yuka,Tochigi,D,C,,44,72,75,81,-,,
Aramaki Joa,Tokyo,B,A,,37,12,18,20,26,22,22
Bando Fuka,Tokyo,D,D,,34,67,59,60,-,,
Ebihara Tsuzumi,Kanagawa,A,A,,1,3,5,6,9,7,6,10
Fujimoto Ayaka,Saitama,C,F,,10,45,54,36,42,45,
Furuhashi Sayaka,Chiba,D,C,,79,75,80,93,-,,
Hamasaki Aiko,Fukuoka,C,C,,96,57,56,62,-,,
Hatta Mena,Hyogo,B,A,,19,27,22,16,24,29,
Hidaka Hazuki,Osaka,C,F,,73,37,40,40,30,30,
Hosoi Ayaka,Chiba,C,D,,72,55,58,65,-,,
Iida Shizuku,Tokyo,D,C,,74,31,32,37,33,20,10,7
Ishii Ran,Saitama,B,A,,63,7,7,3,1,1,4,9
Iyota Hana,Tokyo,D,D,,6,63,64,71,-,,
Kamada Moe,Osaka,C,B,,13,89,72,58,-,,
Kamio Ayano,Osaka,D,C,,52,29,31,27,21,23,24
Kanno Miyu,Kagawa,C,C,,17,47,52,48,46,47,
Kasahara Momona,Kanagawa,A,A,,8,4,2,1,3,3,1,1
Kataoka Rio,Osaka,D,B,,47,70,69,82,-,,
Kato Airi,Tokyo,F,C,,83,88,79,91,-,,
Kato Kagura,Osaka,F,F,,94,10,16,24,37,32,20,14
Kato Kokoro,Aichi,A,A,,52,2,1,2,2,2,8,11
Kato Konomi,Tokyo,D,C,,42,82,94,80,-,,
Kawabata Ranka,Aichi,B,F,,30,41,48,47,28,25,
Kawagishi Runa,Tokyo,C,C,,54,66,68,77,-,,
Kenmotsu Nano,Niigata,B,B,,40,14,8,8,6,9,15,16
Kikukawa Aki,Fukuoka,D,D,,7,50,53,61,-,,
Kino Riko,Kyoto,C,B,,59,76,76,84,-,,
Kitazato Rio,Fukuoka,C,F,,77,8,11,15,22,24,18,18
Kitazume Sakura,Gunma,B,C,,16,11,15,22,19,21,28
Kobayashi Sae,Kanagawa,C,D,,56,79,85,95,-,,
Koyama Mana,Kanagawa,F,D,,90,44,42,49,40,38,
Kurihara Kano,Saitama,D,D,,75,95,93,59,-,,
Kurokawa Honoka,Tokushima,B,C,,32,78,60,55,-,,
Matsushita Miyu,Ishikawa,B,B,,4,59,55,31,25,27,29
Mizukami Rimika,Fukuoka,B,D,,67,26,28,34,44,43,
Mogi Shion,Chiba,C,F,,29,46,50,52,-,,
Moro Anon,Tokyo,F,F,,40,77,78,74,-,,
Motohashi Meika,Chiba,D,F,,69,80,87,87,-,,
Murakami Rinon,Okayama,B,B,,84,23,20,17,16,17,3,2
Nakamori Kotone,Fukuoka,A,B,,43,49,34,39,49,48,
Nakamori Mikoto,Fukuoka,A,B,,65,52,37,44,50,50,
Nakamura Aoi,Nagano,F,F,,95,81,92,76,-,,
Nakamura Riro,Osaka,D,B,,35,93,89,89,-,,
Nakano Kokona,Tokyo,B,B,,11,16,13,19,29,31,
Nakayama Honoka,Aichi,C,D,,58,84,88,78,-,,
Oda Aruha,Tokyo,A,D,,3,33,41,53,-,,
Oikawa Rio,Miyagi,F,F,,97,39,46,56,-,,
Okabe Nonoka,Kyoto,C,F,,38,73,81,69,-,,
Okamura Nana,Hokkaido,C,C,,80,58,61,67,-,,
Ota Sara,Kanagawa,F,D,,49,94,90,90,-,,
Otsubo Karen,Fukuoka,B,B,,22,54,49,50,38,40,
Oyanagi Emi,Republik Indonesia,D,F,,68,61,66,73,-,,
Saito Serina,Osaka,C,D,,48,17,21,23,23,26,21
Sakaguchi Rino,Kanagawa,B,A,,12,25,17,14,17,18,12,12
Sakata Kotone,Kyoto,F,B,,24,56,30,28,34,36,
Sakuraba Haruka,Hokkaido,F,F,,89,34,36,42,32,33,19,19
Sakurai Miu,Aichi,A,A,,51,5,4,4,4,4,2,4
Sano Jueri,Tokyo,C,D,,30,92,77,92,-,,
Sasaki Kokona,Mie,B,B,,86,6,6,7,10,11,7,6
Sasaki Tsukushi,Iwate,A,A,,63,22,19,18,31,28,27
Sato Ameli,USA,D,D,,71,64,67,79,-,,
Sekiguchi Rikako,Kanagawa,D,D,,46,83,96,83,-,,
Shibagaki Arisa,Aichi,D,D,,81,96,86,96,-,,
Shibuya Mei,Hyogo,D,F,,23,71,74,75,-,,
Shimizu Keiko,Aichi,A,B,,9,18,12,12,11,8,11,8
Shinzawa Mika,Niigata,D,F,,98,86,95,85,-,,
Shiromaru Maho,Kumamoto,C,B,,50,60,63,68,-,,
Sudo Sakura,Fukuoka,A,A,,21,30,27,29,48,49,
Sugai Natsuho,Saitama,F,D,,91,87,91,88,-,,
Sutani Yurara,Hyogo,B,C,,65,38,39,43,36,34,
Suzuki Rena,Tokyo,B,D,,39,40,45,57,-,,
Tabata Nana,Saitama,B,B,,33,65,62,64,-,,
Tabuchi Miu,Okayama,D,F,,86,91,82,86,-,,
Takabatake Momoka,Tokyo,C,B,,14,36,33,32,15,13,13,20
Takagi Mayu,Chiba,D,F,,100,19,23,30,45,42,
Takahashi Hina,Saitama,C,C,,35,28,26,25,12,12,26
Takami Ayane,Iwate,A,B,,2,9,10,9,8,6,5,3
Tanabe Karin,Hiroshima,B,C,,28,62,65,66,-,,
Tanaka Hana,Osaka,F,F,,45,68,71,70,-,,
Tanaka Koto,Aichi,C,A,,5,13,9,10,13,16,17,17
Tanaka Yuuki,Kanagawa,B,A,,17,21,24,26,20,19,16,15
Tani Seia,Saitama,F,D,,92,85,83,94,-,,
Uchiyama Rin,Tokyo,C,C,,57,74,73,46,35,39,
Ueki Mimi,Kanagawa,C,F,,99,51,57,63,-,,
Wakimoto Mihaya,Okayama,C,F,,75,69,70,72,-,,
Watanabe Miyu,Hyogo,D,C,,69,42,47,54,-,,
Yamaguchi Misaki,Miyazaki,D,C,,88,90,84,51,-,,
Yamamoto Suzu,Tokyo,A,A,,15,1,3,5,5,5,14,5
Yamazaki Mitsuki,Tokyo,D,F,,78,24,29,41,47,46,
Yoshida Ayano,Osaka,B,C,,61,53,51,45,41,37,
Yoshida Hana,Nara,B,C,,25,48,44,33,27,35,30
